,Unnamed: 0,genre,artist,song,lyrics
31,39,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
32,40,Christian,Caedmon's Call,God of Wonde,Lord of all creation
33,41,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
34,42,Christian,Caedmon's Call,God of Wonde,Lord of all creation
35,43,Christian,Caedmon's Call,God of Wonde,"Of water, earth and sky"
36,44,Christian,Caedmon's Call,God of Wonde,The heavens are your Tabernacle
37,45,Christian,Caedmon's Call,God of Wonde,Glory to the Lord on high
38,47,Christian,Caedmon's Call,God of Wonde,God of wonders beyond our galaxy
39,48,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
40,49,Christian,Caedmon's Call,God of Wonde,The universe declares your majesty
41,50,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
42,51,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
43,52,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
44,54,Christian,Caedmon's Call,God of Wonde,Early in the morning
45,55,Christian,Caedmon's Call,God of Wonde,I will celebrate the light
46,56,Christian,Caedmon's Call,God of Wonde,When I stumble in the darkness
47,57,Christian,Caedmon's Call,God of Wonde,I will call your name by night
48,59,Christian,Caedmon's Call,God of Wonde,God of wonders beyond our galaxy
49,60,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
50,61,Christian,Caedmon's Call,God of Wonde,The universe declares your majesty
51,62,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
52,63,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
53,64,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
54,66,Christian,Caedmon's Call,God of Wonde,"Hallelujah, to the Lord of heaven and earth"
55,68,Christian,Caedmon's Call,God of Wonde,"Hallelujah, to the Lord of heaven and earth"
56,70,Christian,Caedmon's Call,God of Wonde,"Hallelujah, to the Lord of heaven and earth"
57,72,Christian,Caedmon's Call,God of Wonde,"Holy, holy"
58,74,Christian,Caedmon's Call,God of Wonde,God of wonders beyond our galaxy
59,75,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
60,76,Christian,Caedmon's Call,God of Wonde,The universe declares your majesty
61,77,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
62,78,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
63,79,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
64,81,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
65,83,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
66,85,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
67,87,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
68,89,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
69,91,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
70,93,Christian,MercyMe,I Can Only Imagi,I can only imagine what it will be like
71,94,Christian,MercyMe,I Can Only Imagi,When I walk by Your side
72,95,Christian,MercyMe,I Can Only Imagi,I can only imagine what my eyes will see
73,96,Christian,MercyMe,I Can Only Imagi,When Your face is before me
74,97,Christian,MercyMe,I Can Only Imagi,I can only imagine
75,98,Christian,MercyMe,I Can Only Imagi,Yeah
76,100,Christian,MercyMe,I Can Only Imagi,Surrounded by Your glory
77,101,Christian,MercyMe,I Can Only Imagi,What will my heart feel?
78,102,Christian,MercyMe,I Can Only Imagi,Will I dance for You Jesus?
79,103,Christian,MercyMe,I Can Only Imagi,Or in awe of You be still?
80,105,Christian,MercyMe,I Can Only Imagi,Will I stand in Your presence
81,106,Christian,MercyMe,I Can Only Imagi,Or to my knees will I fall?
82,107,Christian,MercyMe,I Can Only Imagi,"Will I sing, Hallelujah?"
83,108,Christian,MercyMe,I Can Only Imagi,Will I be able to speak at all?
84,109,Christian,MercyMe,I Can Only Imagi,I can only imagine
85,110,Christian,MercyMe,I Can Only Imagi,I can only imagine
86,112,Christian,MercyMe,I Can Only Imagi,I can only imagine when that day comes
87,113,Christian,MercyMe,I Can Only Imagi,And I find myself standing in the sun
88,114,Christian,MercyMe,I Can Only Imagi,I can only imagine when all I will do
89,115,Christian,MercyMe,I Can Only Imagi,"Is forever, forever worship You"
90,116,Christian,MercyMe,I Can Only Imagi,"I can only imagine, yeah"
91,117,Christian,MercyMe,I Can Only Imagi,I can only imagine
92,119,Christian,MercyMe,I Can Only Imagi,Surrounded by Your glory
93,120,Christian,MercyMe,I Can Only Imagi,What will my heart feel?
94,121,Christian,MercyMe,I Can Only Imagi,Will I dance for You Jesus?
95,122,Christian,MercyMe,I Can Only Imagi,Or in awe of You be still?
96,124,Christian,MercyMe,I Can Only Imagi,Will I stand in Your presence
97,125,Christian,MercyMe,I Can Only Imagi,Or to my knees will I fall?
98,126,Christian,MercyMe,I Can Only Imagi,"Will I sing, Hallelujah?"
99,127,Christian,MercyMe,I Can Only Imagi,Will I be able to speak at all?
100,128,Christian,MercyMe,I Can Only Imagi,I can only imagine
101,129,Christian,MercyMe,I Can Only Imagi,I can only imagine
102,131,Christian,MercyMe,I Can Only Imagi,Surrounded by Your glory
103,132,Christian,MercyMe,I Can Only Imagi,What will my heart feel?
104,133,Christian,MercyMe,I Can Only Imagi,Will I dance for You Jesus?
105,134,Christian,MercyMe,I Can Only Imagi,Or in awe of You be still?
106,136,Christian,MercyMe,I Can Only Imagi,Will I stand in Your presence
107,137,Christian,MercyMe,I Can Only Imagi,Or to my knees will I fall?
108,138,Christian,MercyMe,I Can Only Imagi,"Will I sing, Hallelujah?"
109,139,Christian,MercyMe,I Can Only Imagi,Will I be able to speak at all?
110,140,Christian,MercyMe,I Can Only Imagi,"I can only imagine, yeah"
111,141,Christian,MercyMe,I Can Only Imagi,I can only imagine
112,143,Christian,MercyMe,I Can Only Imagi,"I can only imagine, yeah"
113,144,Christian,MercyMe,I Can Only Imagi,I can only imagine
114,145,Christian,MercyMe,I Can Only Imagi,I can only imagine
115,146,Christian,MercyMe,I Can Only Imagi,I can only imagine
116,148,Christian,MercyMe,I Can Only Imagi,I can only imagine
117,149,Christian,MercyMe,I Can Only Imagi,When all I would do
118,150,Christian,MercyMe,I Can Only Imagi,"Is forever, forever worship You"
119,151,Christian,MercyMe,I Can Only Imagi,I can only imagine
120,153,Christian,Aaron Shust,My Savior My G,I am not skilled to understand
121,154,Christian,Aaron Shust,My Savior My G,"What God has willed, what God has planned"
122,155,Christian,Aaron Shust,My Savior My G,I only know at His right hand
123,156,Christian,Aaron Shust,My Savior My G,Stands One who is my Savior
124,158,Christian,Aaron Shust,My Savior My G,I take Him at His word and deed
125,159,Christian,Aaron Shust,My Savior My G,"Christ died to save me, this I read"
126,160,Christian,Aaron Shust,My Savior My G,And in my heart I find a need
127,161,Christian,Aaron Shust,My Savior My G,Of Him to be my Savior
128,163,Christian,Aaron Shust,My Savior My G,That He would leave His place on high
129,164,Christian,Aaron Shust,My Savior My G,And come for sinful man to die
130,165,Christian,Aaron Shust,My Savior My G,You count it strange so once did I
131,166,Christian,Aaron Shust,My Savior My G,Before I met my Savior
132,168,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
133,169,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
134,170,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
135,171,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
136,173,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
137,174,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
138,175,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
139,176,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
140,178,Christian,Aaron Shust,My Savior My G,"Yes, living, dying, let me bring"
141,179,Christian,Aaron Shust,My Savior My G,"My strength, my solace from this spring"
142,180,Christian,Aaron Shust,My Savior My G,That He who lives to be my King
143,181,Christian,Aaron Shust,My Savior My G,Once died to be my Savior
144,183,Christian,Aaron Shust,My Savior My G,That He would leave His place on high
145,184,Christian,Aaron Shust,My Savior My G,And come for sinful man to die
146,185,Christian,Aaron Shust,My Savior My G,You count it strange so once did I
147,186,Christian,Aaron Shust,My Savior My G,Before I knew my Savior
148,188,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
149,189,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
150,190,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
151,191,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
152,193,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
153,194,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
154,195,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
155,196,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
156,198,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
157,199,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
158,200,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
159,201,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
160,203,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
161,204,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
162,205,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
163,206,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
164,208,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
165,209,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
166,210,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
167,211,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
168,212,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
169,213,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
170,214,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
171,215,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
172,216,Christian,Aaron Shust,My Savior My G,"My Savior lives, my Savior loves"
173,217,Christian,Aaron Shust,My Savior My G,"My Savior lives, my Savior loves"
174,218,Christian,Aaron Shust,My Savior My G,My Savior lives
175,220,Christian,Michael W. Smith,Breat,This is the air I breathe
176,221,Christian,Michael W. Smith,Breat,This is the air I breathe
177,222,Christian,Michael W. Smith,Breat,Your Holy presence living in me
178,224,Christian,Michael W. Smith,Breat,This is my daily bread
179,225,Christian,Michael W. Smith,Breat,This is my daily bread
180,226,Christian,Michael W. Smith,Breat,Your very word spoken to me
181,228,Christian,Michael W. Smith,Breat,"And I, I'm desperate for You"
182,229,Christian,Michael W. Smith,Breat,"And I, I'm lost without You"
183,231,Christian,Michael W. Smith,Breat,This is the air I breathe
184,232,Christian,Michael W. Smith,Breat,This is the air I breathe
185,233,Christian,Michael W. Smith,Breat,Your Holy presence living in me
186,235,Christian,Michael W. Smith,Breat,This is my daily bread
187,236,Christian,Michael W. Smith,Breat,This is my daily bread
188,237,Christian,Michael W. Smith,Breat,Your very word spoken to me
189,239,Christian,Michael W. Smith,Breat,"And I, I'm desperate for You"
190,240,Christian,Michael W. Smith,Breat,"And I, I'm lost without You"
191,241,Christian,Michael W. Smith,Breat,"And I, I'm desperate for You"
192,242,Christian,Michael W. Smith,Breat,"And I, I'm lost without You"
193,244,Christian,Michael W. Smith,Breat,I'm lost without You
194,245,Christian,Michael W. Smith,Breat,I'm lost without You
195,246,Christian,Michael W. Smith,Breat,I'm desperate for You
196,247,Christian,Michael W. Smith,Breat,Cry out to Him
197,249,Christian,Michael W. Smith,Breat,I'm desperate for You
198,250,Christian,Michael W. Smith,Breat,Cry out to You
199,251,Christian,Michael W. Smith,Breat,I'm desperate for You
200,252,Christian,Michael W. Smith,Breat,Well I'm lost without You now
201,254,Christian,Michael W. Smith,Breat,I'm desperate for You
202,255,Christian,Michael W. Smith,Breat,I'm desperate for You
203,256,Christian,Michael W. Smith,Breat,"I'm lost, I'm lost, I'm lost without You Lord"
204,257,Christian,Michael W. Smith,Breat,"Yea, I'm lost without You"
205,259,Christian,Michael W. Smith,Breat,I'm lost without You
206,260,Christian,Michael W. Smith,Breat,I'm lost without You
207,261,Christian,Michael W. Smith,Breat,I'm desperate for You
208,263,Christian,Michael W. Smith,Breat,How many of you are hungry for God?
209,264,Christian,Michael W. Smith,Breat,Are you hungry for Him?
210,265,Christian,Michael W. Smith,Breat,"I want more of Him, who wants the flood gates to open up?"
211,267,Christian,Chris Tomlin,How Great Is Our G,We do not have the lyrics for How Great Is Our God yet.
212,268,Christian,Laura Story,Mighty To Sa,Everyone needs compassion
213,269,Christian,Laura Story,Mighty To Sa,A love that's never failing
214,270,Christian,Laura Story,Mighty To Sa,Let mercy fall on me
215,271,Christian,Laura Story,Mighty To Sa,Everyone needs forgiveness
216,272,Christian,Laura Story,Mighty To Sa,A kindness of a Savior
217,273,Christian,Laura Story,Mighty To Sa,The hope of nations
218,275,Christian,Laura Story,Mighty To Sa,Savior
219,276,Christian,Laura Story,Mighty To Sa,He can move the mountains
220,277,Christian,Laura Story,Mighty To Sa,My God is Mighty to save
221,278,Christian,Laura Story,Mighty To Sa,He is Mighty to save
222,280,Christian,Laura Story,Mighty To Sa,Forever
223,281,Christian,Laura Story,Mighty To Sa,Author of salvation
224,282,Christian,Laura Story,Mighty To Sa,He rose and conquered the grave
225,283,Christian,Laura Story,Mighty To Sa,Jesus conquered the grave
226,285,Christian,Laura Story,Mighty To Sa,So take me as You find me
227,286,Christian,Laura Story,Mighty To Sa,All my fears and failures
228,287,Christian,Laura Story,Mighty To Sa,Fill my life again
229,288,Christian,Laura Story,Mighty To Sa,I give my life to follow
230,289,Christian,Laura Story,Mighty To Sa,Everything I believe in
231,290,Christian,Laura Story,Mighty To Sa,Now I surrender
232,291,Christian,Laura Story,Mighty To Sa,Yes I surrender
233,293,Christian,Laura Story,Mighty To Sa,Savior
234,294,Christian,Laura Story,Mighty To Sa,He can move the mountains
235,295,Christian,Laura Story,Mighty To Sa,My God is Mighty to save
236,296,Christian,Laura Story,Mighty To Sa,He is Mighty to save
237,298,Christian,Laura Story,Mighty To Sa,Forever
238,299,Christian,Laura Story,Mighty To Sa,Author of salvation
239,300,Christian,Laura Story,Mighty To Sa,He rose and conquered the grave
240,301,Christian,Laura Story,Mighty To Sa,Jesus conquered the grave
241,303,Christian,Laura Story,Mighty To Sa,Shine your light and let the whole world see
242,304,Christian,Laura Story,Mighty To Sa,We're singing for the glory of the risen King Jesus
243,305,Christian,Laura Story,Mighty To Sa,Shine your light and let the whole world see
244,306,Christian,Laura Story,Mighty To Sa,We're singing for the glory of the risen King Jesus
245,308,Christian,Laura Story,Mighty To Sa,Savior
246,309,Christian,Laura Story,Mighty To Sa,He can move the mountains
247,310,Christian,Laura Story,Mighty To Sa,My God is Mighty to save
248,311,Christian,Laura Story,Mighty To Sa,He is Mighty to save
249,313,Christian,Laura Story,Mighty To Sa,Forever
250,314,Christian,Laura Story,Mighty To Sa,Author of salvation
251,315,Christian,Laura Story,Mighty To Sa,He rose and conquered the grave
252,316,Christian,Laura Story,Mighty To Sa,Jesus conquered the grave
253,318,Christian,Laura Story,Mighty To Sa,Savior
254,319,Christian,Laura Story,Mighty To Sa,You can move the mountains
255,320,Christian,Laura Story,Mighty To Sa,God you are mighty to save
256,321,Christian,Laura Story,Mighty To Sa,Yes you are mighty to save
257,323,Christian,Laura Story,Mighty To Sa,Forever
258,324,Christian,Laura Story,Mighty To Sa,Author of Salvation
259,325,Christian,Laura Story,Mighty To Sa,You rose and conquered the grave
260,326,Christian,Laura Story,Mighty To Sa,Yes you conquered the grave
261,328,Christian,Laura Story,Mighty To Sa,You were mighty to save
262,330,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
263,331,Christian,Tree63,Blessed Be Your Na,In the land that is plentiful
264,332,Christian,Tree63,Blessed Be Your Na,Where the streams of abundance flow
265,333,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
266,335,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
267,336,Christian,Tree63,Blessed Be Your Na,When I'm found in the desert place
268,337,Christian,Tree63,Blessed Be Your Na,Though I walk through the wilderness
269,338,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
270,340,Christian,Tree63,Blessed Be Your Na,Every blessing You pour out
271,341,Christian,Tree63,Blessed Be Your Na,I'll turn back to praise
272,342,Christian,Tree63,Blessed Be Your Na,"When the darkness closes in, Lord"
273,343,Christian,Tree63,Blessed Be Your Na,Still I will say
274,345,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
275,346,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
276,347,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
277,348,Christian,Tree63,Blessed Be Your Na,Blessed be Your glorious name
278,350,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
279,351,Christian,Tree63,Blessed Be Your Na,When the sun's shining down on me
280,352,Christian,Tree63,Blessed Be Your Na,When the world's all as it should be
281,353,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
282,355,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
283,356,Christian,Tree63,Blessed Be Your Na,On the road marked with suffering
284,357,Christian,Tree63,Blessed Be Your Na,Though there's pain in the offering
285,358,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
286,360,Christian,Tree63,Blessed Be Your Na,Every blessing You pour out
287,361,Christian,Tree63,Blessed Be Your Na,I'll turn back to praise
288,362,Christian,Tree63,Blessed Be Your Na,"When the darkness closes in, Lord"
289,363,Christian,Tree63,Blessed Be Your Na,Still I will say
290,365,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
291,366,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
292,367,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
293,368,Christian,Tree63,Blessed Be Your Na,Blessed be Your glorious name
294,370,Christian,Tree63,Blessed Be Your Na,You give and take away
295,371,Christian,Tree63,Blessed Be Your Na,You give and take away
296,372,Christian,Tree63,Blessed Be Your Na,My heart will choose to say
297,373,Christian,Tree63,Blessed Be Your Na,"Lord, blessed be Your name"
298,375,Christian,Tree63,Blessed Be Your Na,Every blessing You pour out
299,376,Christian,Tree63,Blessed Be Your Na,I'll turn back to praise
300,377,Christian,Tree63,Blessed Be Your Na,"When the darkness closes in, Lord"
301,378,Christian,Tree63,Blessed Be Your Na,Still I'm gonna say
302,380,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
303,381,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
304,382,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
305,383,Christian,Tree63,Blessed Be Your Na,Blessed be Your glorious name
306,385,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
307,386,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
308,387,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
309,388,Christian,Tree63,Blessed Be Your Na,Blessed be Your glorious name
310,390,Christian,Tree63,Blessed Be Your Na,You give and take away
311,391,Christian,Tree63,Blessed Be Your Na,You give and take away
312,392,Christian,Tree63,Blessed Be Your Na,My heart will choose to say
313,393,Christian,Tree63,Blessed Be Your Na,"Lord, Blessed be Your name"
314,395,Christian,Chris Tomlin,Holy Is the Lo,We do not have the lyrics for Holy Is the Lord yet.
315,396,Christian,Casting Crowns,East To We,EAST TO WEST
316,398,Christian,Casting Crowns,East To We,Here I am Lord and I'm drowning
317,399,Christian,Casting Crowns,East To We,In Your sea of forgetfulness
318,400,Christian,Casting Crowns,East To We,The chains of yesterday surround me
319,401,Christian,Casting Crowns,East To We,I yearn for peace and rest
320,402,Christian,Casting Crowns,East To We,I don't want to end up where You found me
321,403,Christian,Casting Crowns,East To We,And it echoes in my mind
322,404,Christian,Casting Crowns,East To We,Keeps me awake tonight
323,406,Christian,Casting Crowns,East To We,I know You've cast my sin as far
324,407,Christian,Casting Crowns,East To We,As the East is from the West
325,408,Christian,Casting Crowns,East To We,And I stand before You now
326,409,Christian,Casting Crowns,East To We,As though I've never sinned
327,410,Christian,Casting Crowns,East To We,But today I feel like I'm just one mistake away
328,411,Christian,Casting Crowns,East To We,From You leaving me this way
329,413,Christian,Casting Crowns,East To We,"Jesus, can You show me just how far the East is from the West?"
330,414,Christian,Casting Crowns,East To We,Cause I can't bear to see the man I've been
331,415,Christian,Casting Crowns,East To We,Rising up in me again
332,416,Christian,Casting Crowns,East To We,In the arms of Your mercy I find rest
333,417,Christian,Casting Crowns,East To We,You know just how far the East is from the West
334,418,Christian,Casting Crowns,East To We,From one scarred hand to the other
335,420,Christian,Casting Crowns,East To We,"I start the day, the war begins"
336,421,Christian,Casting Crowns,East To We,Endless reminding of my sin
337,422,Christian,Casting Crowns,East To We,And time and time again
338,423,Christian,Casting Crowns,East To We,Your truth is drowned out by the storm I'm in
339,424,Christian,Casting Crowns,East To We,Today I feel like I'm just one mistake away
340,425,Christian,Casting Crowns,East To We,From You leaving me this way
341,427,Christian,Casting Crowns,East To We,"Jesus, can You show me just how far the East is from the West?"
342,428,Christian,Casting Crowns,East To We,Cause I can't bear to see the man I've been
343,429,Christian,Casting Crowns,East To We,Come rising up in me again
344,430,Christian,Casting Crowns,East To We,In the arms of Your mercy I find rest
345,431,Christian,Casting Crowns,East To We,Cause You know just how far the East is from the West
346,432,Christian,Casting Crowns,East To We,From one scarred hand to the other
347,434,Christian,Casting Crowns,East To We,I know You've washed me white
348,435,Christian,Casting Crowns,East To We,Turned my darkness into light
349,436,Christian,Casting Crowns,East To We,I need Your peace to get me through
350,437,Christian,Casting Crowns,East To We,To get me through this night
351,438,Christian,Casting Crowns,East To We,I can't live by what I feel
352,439,Christian,Casting Crowns,East To We,About the truth Your word reveals
353,440,Christian,Casting Crowns,East To We,And I'm not holding onto You
354,441,Christian,Casting Crowns,East To We,But You're holding onto me
355,442,Christian,Casting Crowns,East To We,You're holding onto me
356,444,Christian,Casting Crowns,East To We,"Jesus, You know just how far the East is from the West"
357,445,Christian,Casting Crowns,East To We,I don't have to see the man I've been
358,446,Christian,Casting Crowns,East To We,Come rising up in me again
359,447,Christian,Casting Crowns,East To We,In the arms of Your mercy I find rest (mercy I find rest)
360,448,Christian,Casting Crowns,East To We,You know just how far the East is from the West
361,449,Christian,Casting Crowns,East To We,From one scarred hand to the other
362,451,Christian,Casting Crowns,East To We,"(Just how far, the East is from the West, Just how far)"
363,452,Christian,Casting Crowns,East To We,From one scarred hand to the other
364,453,Christian,Casting Crowns,East To We,"(You know just how far, the East is from the West, Just how far)"
365,454,Christian,Casting Crowns,East To We,From one scarred hand to the other
366,456,Christian,Switchfoot,Alwa,This is the start
367,457,Christian,Switchfoot,Alwa,This is your heart
368,458,Christian,Switchfoot,Alwa,This is the day you were born
369,459,Christian,Switchfoot,Alwa,This is the sun
370,460,Christian,Switchfoot,Alwa,These are your lungs
371,461,Christian,Switchfoot,Alwa,This is the day you were born
372,463,Christian,Switchfoot,Alwa,"And I am always, always"
373,464,Christian,Switchfoot,Alwa,Always yours
374,465,Christian,Switchfoot,Alwa,"I am always, always"
375,466,Christian,Switchfoot,Alwa,Always yours
376,468,Christian,Switchfoot,Alwa,These are the scars
377,469,Christian,Switchfoot,Alwa,Deep in your heart
378,470,Christian,Switchfoot,Alwa,This is the place you were born
379,471,Christian,Switchfoot,Alwa,This is the hole
380,472,Christian,Switchfoot,Alwa,Where most of your soul
381,473,Christian,Switchfoot,Alwa,Comes ripping out
382,474,Christian,Switchfoot,Alwa,From the places you've been torn
383,476,Christian,Switchfoot,Alwa,"And it is always, always"
384,477,Christian,Switchfoot,Alwa,Always yours
385,478,Christian,Switchfoot,Alwa,"I am always, always"
386,479,Christian,Switchfoot,Alwa,Always yours
387,481,Christian,Switchfoot,Alwa,Hallelujah!
388,482,Christian,Switchfoot,Alwa,I'm caving in
389,483,Christian,Switchfoot,Alwa,Hallelujah!
390,484,Christian,Switchfoot,Alwa,I'm in love again
391,485,Christian,Switchfoot,Alwa,Hallelujah!
392,486,Christian,Switchfoot,Alwa,I'm a wretched man
393,487,Christian,Switchfoot,Alwa,Hallelujah!
394,488,Christian,Switchfoot,Alwa,Every breath is a second chance
395,489,Christian,Switchfoot,Alwa,Yeah!
396,491,Christian,Switchfoot,Alwa,"And it is always, always"
397,492,Christian,Switchfoot,Alwa,Always yours
398,493,Christian,Switchfoot,Alwa,"I am always, always"
399,494,Christian,Switchfoot,Alwa,Always yours
400,495,Christian,Switchfoot,Alwa,"Always, always"
401,496,Christian,Switchfoot,Alwa,Always yours
402,497,Christian,Switchfoot,Alwa,"Always, always"
403,498,Christian,Switchfoot,Alwa,Always yours
404,499,Christian,Switchfoot,Alwa,"Juro que amo todas tus carencias, aunque aprueben mi paciencia, amo todo si es contigo."
405,501,Christian,MercyMe,Bring The Ra,I can count a million times
406,502,Christian,MercyMe,Bring The Ra,People asking me how I
407,503,Christian,MercyMe,Bring The Ra,Can praise You with all that I've gone through
408,505,Christian,MercyMe,Bring The Ra,The question just amazes me
409,506,Christian,MercyMe,Bring The Ra,Can circumstances possibly
410,507,Christian,MercyMe,Bring The Ra,Change who I forever am in You
411,509,Christian,MercyMe,Bring The Ra,Maybe since my life was changed
412,510,Christian,MercyMe,Bring The Ra,Long before these rainy days
413,511,Christian,MercyMe,Bring The Ra,It's never really ever crossed my mind
414,513,Christian,MercyMe,Bring The Ra,"To turn my back on You, oh Lord"
415,514,Christian,MercyMe,Bring The Ra,My only shelter from the storm
416,515,Christian,MercyMe,Bring The Ra,But instead I draw closer through these times
417,517,Christian,MercyMe,Bring The Ra,So I pray
418,518,Christian,MercyMe,Bring The Ra,"Bring me joy, bring me peace"
